CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-14364-455333,2015-01-23,H-2A,2014-12-31,DETERMINATION ISSUED - CERTIFICATION,2015-02-15,2015-11-15,"STILES APIARIES, LLC",859 King George Rd.,mailing: 859 King George Rd.,Fords,NJ,08863,UNITED STATES OF AMERICA,,732-661-0700,,"MAS LABOR H-2A, LLC",Elizabeth Whitley,LOVINGSTON,VA,Beekeeper,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,,4,4,Y,Seasonal,40,08:00 AM,03:30 PM,10.32,Hour,,,N,,None,,,N,,N,,,Y,3,Fords,NJ,08863,Y,Individual Employer,One-Stop Career Center,NJ0968658,2014-12-17,2015-02-12
H-300-15021-148796,2015-02-06,H-2A,2015-01-21,DETERMINATION ISSUED - CERTIFICATION,2015-03-08,2015-11-30,The Garden's Edge,3000 Ironstone Hill Rd,,York,PA,17403,UNITED STATES OF AMERICA,,717-747-9266,,SOUTHERN IMPACT,LESLI DOWNS,Tulsa,OK,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,,10,10,Y,Seasonal,45,08:00 AM,05:00 PM,11.29,Hour,,,N,,None,,,N,,N,,,N,,York,PA,17403,N,Individual Employer,PA Career Link,7975305,2015-01-15,2015-07-19
H-300-15008-642604,2015-03-17,H-2A,2015-01-09,DETERMINATION ISSUED - CERTIFICATION,2015-01-02,2015-10-31,"BORDELON APIARIES, LLC",P.O. BOX 1329,,GRAY,LA,70359,UNITED STATES OF AMERICA,,985-209-2651,,,,,,Beekeeping General Labor,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,,2,2,Y,Seasonal,50,08:00 AM,04:00 PM,10.18,Hour,,,N,,None,,,N,,N,,,Y,3,Evergreen,LA,71333,N,Individual Employer,Louisiana Workforce Commission,511744,2014-11-05,2015-02-06
H-300-14363-197884,2015-01-20,H-2A,2014-12-31,DETERMINATION ISSUED - CERTIFICATION,2015-02-15,2015-11-15,"Ruby's Apiaries, Inc.",711 5th Ave.,"mailing: 711 5th Ave.  Milnor, ND 58060",Milnor,ND,58060,UNITED STATES OF AMERICA,,701-427-5200,,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Beekeeper,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Beekeeping,,4,4,Y,Seasonal,40,07:00 AM,02:30 PM,10.86,Hour,,,N,,None,,,N,,N,,,Y,3,Kirbyville,TX,75956,Y,H-2A Labor Contractor or Job Contractor,Texas Workforce Commission,TX3277463,2015-02-12,2015-07-01
H-300-14364-836678,2015-01-30,H-2A,2014-12-30,DETERMINATION ISSUED - CERTIFICATION,2015-03-01,2015-10-15,Lazy Snake Ranch,1890 E Potucek Lane,,King Hill,ID,83633,UNITED STATES OF AMERICA,,208-366-7320,,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,,2,2,Y,Seasonal,48,06:00 AM,05:00 PM,11.14,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,King Hill,ID,83633,N,Individual Employer,ID Dept of Commerce & Labor,1526567,2014-12-18,2015-06-23
H-300-14364-509606,2015-01-15,H-2A,2014-12-30,DETERMINATION ISSUED - CERTIFICATION,2015-02-15,2015-11-20,Brandon Reddig,2236 Frazer-Richland Road,,Lustre,MT,59225,UNITED STATES OF AMERICA,,406-392-7174,,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,,3,3,Y,Seasonal,48,08:00 AM,06:00 PM,11.14,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Lustre,MT,59225,N,Individual Employer,Montana Department of Labor and Industry,10094807,2014-12-08,2015-07-02
H-300-15055-203423,2015-03-16,H-2A,2015-02-24,DETERMINATION ISSUED - CERTIFICATION,2015-04-15,2015-09-15,Rocky Mountain Peach Co Inc,3636 E 1/4 Road,N/A,Palisade,CO,81526,UNITED STATES OF AMERICA,N/A,970-464-7636,,USAMEX LTD CO,DAVID DONALDSON,BALD KNOB,AR,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Farm worker,,17,17,Y,Seasonal,40,06:00 AM,03:00 PM,11.37,Hour,,,N,,None,,,N,,N,,,N,,Palisade,CO,81526,N,Individual Employer,Colorado DLE Workforce Development Programs FLC,CO6075605,2015-02-13,2015-06-30
H-300-15046-814003,2015-03-12,H-2A,2015-02-19,DETERMINATION ISSUED - CERTIFICATION,2015-04-08,2015-10-24,"MARTINELLI VINEYARD MANAGEMENT, INC.",3360 RIVER ROAD,,WINDSOR,CA,95492,UNITED STATES OF AMERICA,,707-525-1017,,"MALITZLAW, INC.",JEANNE MALITZ,SAN DIEGO,CA,Agricultural Field Worker (Wine Grapes and Apples),45-2092,"Farmworkers and Laborers, Crop, Nursery, and","Farm Worker, Laborer, Crop",,58,58,Y,Seasonal,35,07:00 AM,01:00 PM,11.33,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Cazadero,CA,95421,Y,H-2A Labor Contractor or Job Contractor,California EDD,14279976,2015-02-17,2015-07-16
H-300-15047-758360,2015-03-16,H-2A,2015-02-16,DETERMINATION ISSUED - CERTIFICATION,2015-04-15,2015-12-30,Carl Pepper Farm,650 CR 145,,O'Donnell,TX,79351,UNITED STATES OF AMERICA,,806-759-6097,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MCGREGOR,IA,Farm Machine Operator,45-2091,Agricultural Equipment Operators,Cotton,,2,2,Y,Seasonal,40,08:00 AM,05:00 PM,10.35,Hour,,,N,,High School/GED,,,N,,N,,,Y,3,O'Donnell,TX,79351,N,Individual Employer,Texas Workforce Commission,TX2810542,2015-02-13,2015-08-22
H-300-15041-357542,2015-03-17,H-2A,2015-02-10,DETERMINATION ISSUED - CERTIFICATION,2015-03-30,2015-12-31,Craig Weigel,3351 67th St. SE,,Napoleon,ND,58561,UNITED STATES OF AMERICA,,701-426-7547,,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Ag. Equipment Operator,45-2091,Agricultural Equipment Operators,drive and operate farm machinery to plant,423930,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,13.59,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Napoleon,ND,58561,N,Individual Employer,Job Service North Dakota,396894,2015-02-05,2015-08-15
H-300-15176-120253,2015-07-08,H-2A,2015-06-26,DETERMINATION ISSUED - CERTIFICATION,2015-08-10,2016-01-05,Janice L. Corley,100 Munson Road,,Cheneyville,LA,71325,UNITED STATES OF AMERICA,,318-279-2333,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",harvest sugarcane,,5,5,Y,Seasonal,40,07:00 AM,03:00 PM,10.18,Hour,,,N,,None,,,N,,N,,,N,,Cheneyville,LA,71325,N,Individual Employer,Louisiana Workforce Commission,LA539035,2015-06-11,2015-10-23
H-300-15176-366175,2015-07-23,H-2A,2015-06-25,DETERMINATION ISSUED - CERTIFICATION,2015-08-24,2015-11-15,"EB HARVESTING, LLC",2279 SE REYNOLDS STREET,,ARCADIA,FL,34266,UNITED STATES OF AMERICA,,863-990-4834,,Florida Fruit & Vegetable Association,CHRISTINE SYNAN,MAITLAND,FL,Sweet Potato Harvester,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sweet Potato Harvest,,36,36,Y,Seasonal,36,07:00 AM,02:00 PM,10.32,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,1,Kenley,NC,27542,Y,Association - Filing as Agent (H-2A Only),North Carolina Department of Commerce,10389447,2015-06-22,2015-10-04
H-300-15176-138560,2015-07-30,H-2A,2015-06-25,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2015-09-06,2015-12-20,William T Mulligan,8352 Hobbs Road,,Owensboro,KY,42301,UNITED STATES OF AMERICA,,270-229-4066,,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and","Burley, dark fired, air cured tobacco, straw, hay",423930,4,3,Y,Seasonal,40,08:00 AM,04:00 PM,10.28,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Owensboro,KY,42301,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",KY0603362,2015-06-25,2015-09-06
H-300-14218-979394,2014-10-31,H-2A,2014-09-15,DETERMINATION ISSUED - CERTIFICATION,2014-11-28,2015-06-20,Bonnie Plant - Old Diz,1719 Hwy 231 North,N/A,Troy,AL,36081,UNITED STATES OF AMERICA,,334-808-4148,,USAMEX LTD CO (not a law firm),DAVID DONALDSON,BALD KNOB,AR,Hort Worker I,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",potting herbs,,7,7,Y,Seasonal,45,06:00 AM,03:00 PM,10,Hour,,,N,,None,,,N,,N,,,Y,3,Troy,AL,36081,N,Individual Employer,Ala Dept of Industrial Relations,1444958,2014-09-15,2015-03-11
H-300-14248-899696,2014-10-14,H-2A,2014-09-05,DETERMINATION ISSUED - CERTIFICATION,2014-11-15,2015-09-15,Dale Bryan,Post Office Box 69,1147 US 41S,Pelham,TN,37366,UNITED STATES OF AMERICA,,931-467-3600,,,,,,Horticultural Farm Worker & Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery Work,,32,32,Y,Seasonal,40,08:00 AM,05:00 PM,10.1,Hour,,,N,,None,,,N,,N,,,Y,3,Pelham,TN,37366,Y,Individual Employer,"Tullahoma, TN 37388",TN 67246,2014-09-04,2015-04-16
H-300-14276-328355,2014-10-28,H-2A,2014-10-03,DETERMINATION ISSUED - CERTIFICATION,2014-12-01,2015-04-30,"DNA Farms, LLC",1903 Greene 901 Road,,Paragould,AR,72450,UNITED STATES OF AMERICA,,870-215-8771,,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Crop Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Grain,423930,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,9.87,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Paragould,AR,72450,N,Individual Employer,AR Dept. of Workforce Services,1036628,2014-09-29,2015-02-14
H-300-14275-029702,2014-10-21,H-2A,2014-10-02,DETERMINATION ISSUED - CERTIFICATION,2014-12-01,2015-11-30,Gregory Livestock Co./Steve Gregory,"2642 McCourtney Road, Lincoln, CA 95648 (Physical Address)","PO Box 315, Sheridan, CA 95681 (Mailing Address)",Lincoln,CA,95648,UNITED STATES OF AMERICA,N/A,916-899-9130,0,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Goat/Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheepherder,,5,5,Y,Seasonal,60,12:00 AM,12:00 PM,1600.34,Month,,,N,,None,N/A,N/A,N,,N,,,Y,6,Lincoln,CA,8944595648,Y,Association - Filing as Agent (H-2A Only),California State Workforce Agency,CA14181392,2014-09-17,2015-06-01
H-300-14279-665367,2014-10-30,H-2A,2014-10-06,DETERMINATION ISSUED - CERTIFICATION,2014-11-15,2015-06-10,"CISNEROS HARVESTING, INC.",3501 NE WASHINGTON ST,NA,ARCADIA,FL,34266,UNITED STATES OF AMERICA,N/A,863-491-0137,,,,,,"Farmworkers and Laborers, Crop Nursery",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Citrus,,99,99,Y,Seasonal,36,07:00 AM,02:00 PM,10.26,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Arcadia,FL,34266,Y,H-2A Labor Contractor or Job Contractor,Florida's Department of Employment Opportunity,FL9944495,2014-10-03,2015-02-02
H-300-14258-692195,2014-10-10,H-2A,2014-09-15,DETERMINATION ISSUED - CERTIFICATION,2014-11-10,2015-09-10,Stoddard Ranch,mailing 4565 Mesquite Pass,,Seguin,TX,78155,UNITED STATES OF AMERICA,,210-508-7522,,GENESIS V. SALMON,GENESIS SALMON,SAN ANGELO,TX,"Farmworkers, Farm, Ranch, and Animals",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Deer Handler,423940,3,3,Y,Seasonal,40,07:00 AM,04:00 PM,10.86,Hour,,,N,,None,,,N,,N,,,N,,Carta Valley,TX,78880,N,Individual Employer,Texas Workforce Commission,TX3257904,2014-09-10,2015-04-11
H-300-14258-680090,2014-10-09,H-2A,2014-09-15,DETERMINATION ISSUED - CERTIFICATION,2014-11-01,2015-06-30,Luis M Ibarra,1645 NE Ora Ave,,Arcadia,FL,34266,UNITED STATES OF AMERICA,,863-558-8676,,"CCH BOOKKEEPING, INC.",YOLANDA CELAYA,LAKE PLACID,FL,Harvest worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Early/Mid Oranges Juice,,40,40,Y,Seasonal,36,07:30 AM,01:30 PM,10.26,Hour,,,N,,None,,,N,,N,,,N,,Punta Gorda,FL,33982,Y,H-2A Labor Contractor or Job Contractor,Department of Economic Oportunity,9936523,2014-09-12,2015-03-02
H-300-14265-739002,2014-10-22,H-2A,2014-09-22,DETERMINATION ISSUED - CERTIFICATION,2014-12-01,2015-09-30,F & W Farms,"Physical: 5330 Benton Road, Crowley, LA 70526","Mail: 5330 Benton Road, Crowley, LA 70526",Crowley,LA,70526,UNITED STATES OF AMERICA,Acadia Parish,337-581-0875,,"Couch Application Service Assistance, L.L.C.","Kelly Couch (Casa, Manager)",New Roads,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Ag-Cattle,,16,16,Y,Seasonal,40,07:00 AM,04:00 PM,9.87,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Crowley,LA,70526,Y,Individual Employer,"LA Workforce Commission, Office of Workforce Development",505005,2014-09-15,2015-05-01
H-300-14265-525127,2014-10-02,H-2A,2014-09-22,DETERMINATION ISSUED - CERTIFICATION,2014-11-10,2015-07-15,Michael J. Prevost,"Physical: 122 Jerry Heinen Lane, Branch, LA 70516","Mail: 122 Jerry Heinen Lane, Branch, LA 70516",Branch,LA,70516,UNITED STATES OF AMERICA,Acadia Parish,337-783-4923,,"Couch Application Service Assistance, L.L.C.","Kelly Couch (Casa, Manager)",New Roads,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Ag-Rice,,9,9,Y,Seasonal,40,07:00 AM,04:00 PM,9.87,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Crowley,LA,70526,Y,Individual Employer,"LA Workforce Commission, Office of Workforce Development",504544,2014-09-11,2015-03-13
H-300-14261-701137,2014-10-07,H-2A,2014-09-18,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-11-02,2015-06-05,EAM HARVESTING LLC,2692 NE BURNHAM RD,N/A,ARCADIA,FL,34266,UNITED STATES OF AMERICA,N/A,863-491-4002,,,,,,ORANGE PICKER/FARM LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",NAVAL JUICE PROCESSING,,158,156,Y,Seasonal,36,07:00 AM,02:00 PM,10.26,Hour,,,N,,None,,,N,,N,0,N/A,N,,ARCADIA,FL,34266,Y,H-2A Labor Contractor or Job Contractor,FOREIGN LABOR CERTIFICATION H2A PROGRAM STEVEN AGGELIS 1-850-921-3339,FL9926433,2014-11-01,2015-02-17
H-300-14273-725921,2014-10-31,H-2A,2014-09-30,DETERMINATION ISSUED - CERTIFICATION,2014-12-07,2015-04-30,"James & Sons Farming,",1240 N. Grant,,Liberal,KS,67901,UNITED STATES OF AMERICA,,620-624-0942,,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Livestock Farmworker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",LIVESTOCK WORKER,,3,3,Y,Seasonal,48,08:00 AM,05:00 PM,13.41,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Hugoton,KS,67951,N,Individual Employer,Garden City Workforce Center,9364187,2014-09-24,2015-02-18
H-300-14280-402374,2014-10-28,H-2A,2014-10-08,DETERMINATION ISSUED - DENIED,2014-12-08,2015-07-30,Lorenzo Gabriel Marquez,1078 N Hwy. 191,,COCHISE,AZ,85606,UNITED STATES OF AMERICA,,520-508-3753,,FOREMEN INC,JESUS LEON,PHOENIX,AZ,General farm laborer,45-2099,"Agricultural Workers, All Other",Irrigation,,8,0,Y,Seasonal,40,06:00 AM,03:00 PM,9.97,Hour,,,N,,None,,,N,,N,,,Y,1,COCHISE,AZ,85606,N,Individual Employer,Arizona Department of Economic Security Employment Services,0,,
H-300-14279-637016,2014-11-13,H-2A,2014-10-30,DETERMINATION ISSUED - CERTIFICATION,2015-01-01,2015-12-31,Cobb Cattle Company,PO Box 68,42 County Road 561 South,Savery,WY,82332,UNITED STATES OF AMERICA,na,307-383-2600,,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheepherder,424,2,2,Y,Seasonal,45,12:00 AM,11:55 PM,750,Month,,,N,,None,na,na,N,,N,,,Y,3,Savery,WY,82332,Y,Individual Employer,Wyoming State Workforce Agency,WY2568934,2014-10-24,2015-07-02
