CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-15224-984590,2015-12-09,H-2A,2015-08-12,DETERMINATION ISSUED - DENIED,2015-09-26,2015-12-21,PRI,Holland Pyke LLC,258 Old U.S. Rt. 35 SE,,Washington Courthouse,OH,43160,UNITED STATES OF AMERICA,,740-335-3770,,THE BERNARD FIRM P.L.C.,Aaron Bernard,Ames,IA,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Construction of Livestock Buildings,,11,0,Y,Seasonal,40,07:30 AM,04:30 PM,$11.61,Hour,,,N,,None,,,N,,N,,,N,,Washington Courthouse,OH,43160,Y,Individual Employer,Ohio,3023690,2015-08-24,2015-11-08
H-300-15230-845327,2015-10-21,H-2A,2015-08-18,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-25,2016-01-05,PRI,MYRKA MIREYA CARDENAS,1935 ROSS BOWEN ROAD,,LYONS,GA,30436,UNITED STATES OF AMERICA,,912-293-7310,,MONICA SAAVEDRA,MONICA SAAVEDRA,DOUGLAS,GA,Farmworkers and Laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Corn,,99,99,Y,Seasonal,40,07:00 AM,04:00 PM,$10.00,Hour,,,N,,None,,,N,,N,,,Y,2,CLAXTON,GA,30436,Y,H-2A Labor Contractor or Job Contractor,GEORGIA DEPARTMENT OF LABOR,GA8329140,2015-08-17,2015-11-30
H-300-15230-932700,2015-10-07,H-2A,2015-08-18,DETERMINATION ISSUED - DENIED,2015-10-05,2016-07-15,PRI,Bar H Farms,3761 FM 665,,Robstown,TX,78380,UNITED STATES OF AMERICA,,361-813-8880,,State Services Corporation,Iram Jafri,Windsor,,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,Grains,423930,1,0,Y,Seasonal,48,09:00 AM,05:00 PM,$12.00,Bi-Weekly,,,N,,None,,,N,,N,,,N,,Robstown,TX,78380,N,Individual Employer,FLC Analyst,TX5074710,2015-08-11,2016-02-24
H-300-15231-232517,2015-11-13,H-2A,2015-08-19,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-15,2016-04-30,PRI,Jeremy Wanzek,3877 68th Ave SE,N/A,Cleveland,ND,58424,UNITED STATES OF AMERICA,N/A,701-763-6485,,LIBERTY IMMIGRATION,CATHY KNECHT,CLEVELAND,ND,Farm Ranch Animal Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,,2,2,Y,Seasonal,40,08:00 AM,05:00 PM,$13.59,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Cleveland,ND,58424,N,Individual Employer,North Dakota Job Services,419660,2015-08-04,2016-01-22
H-300-15232-319902,2015-12-29,H-2A,2015-12-05,DETERMINATION ISSUED - CERTIFICATION,2016-01-20,2016-11-20,PRI,"Ecological Restoration Services, LLC",412 N. 4th Street,Ste. 300,Baton Rouge,LA,70802,UNITED STATES OF AMERICA,,225-372-6113,,AZARMEHR LAW GROUP,NICOLE MERRITT,AUSTIN,TX,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Trees,,16,16,Y,Seasonal,40,08:00 AM,05:00 PM,$10.18,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Montegut,LA,70377,N,Individual Employer,Louisiana Workforce Commission,574930,2015-11-18,2016-06-20
H-300-15233-640484,2015-10-09,H-2A,2015-08-24,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-15,2016-08-15,PRI,"Hawaiian Queen Co., Inc",89.941 Hawaii Belt Rd,,Captain Cook,HI,96704,UNITED STATES OF AMERICA,,808-328-2656,,"WFDS, LLC",DAYNA SUMIYOSHI,FERGUS FALLS,MN,Bee Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Bees,,3,3,Y,Seasonal,50,07:00 AM,05:00 PM,$12.98,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Captain Cook,HI,96704,N,Individual Employer,Workforce Development Division - Kona - Hawaii,1254344,2015-08-19,2016-03-01
H-300-15236-354217,2015-10-08,H-2A,2015-08-26,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-12,2016-08-12,PRI,Lyda Cattle Co. LLC,1815 S. La Escalera Road,,Fort Stockton,TX,79735,UNITED STATES OF AMERICA,,432-395-2339,,"THE KERSHAW LAW FIRM, PC",ROBERT KERSHAW,AUSTIN,TX,"Farmworker, Farm and Ranch Animals",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,,5,5,Y,Seasonal,40,07:00 AM,06:00 PM,$10.35,Hour,10.35,10.35,N,,None,N/A,N/A,N,,N,,,N,,Fort Stockton,TX,79735,N,Individual Employer,Texas Workforce Commission,TX3331740,2015-08-14,2016-03-12
H-300-15239-266331,2015-10-20,H-2A,2015-08-27,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-20,2015-12-15,PRI,PALOMA HARVESTING INC,5951 SW Carlton Ave,,Arcadia,FL,34266,UNITED STATES OF AMERICA,,863-612-0073,,LOW COUNTRY LABOR COMPANY,MICHAEL LALICH,Charleston,SC,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Christmas Trees,,50,50,Y,Seasonal,40,07:00 AM,03:00 PM,$10.32,Hour,,,N,,None,na,na,N,,N,,,Y,1,Sparta,NC,28675,Y,H-2A Labor Contractor or Job Contractor,"North Carolina Department of Commerce, Division of Workforce Solutions",10411662,2015-08-17,2015-11-17
H-300-15239-550351,2015-10-06,H-2A,2015-08-27,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-10-11,2016-01-15,PRI,ANNA R. PEREZ-QUINTINO,PO BOX 453,114 ARROW TRAIL,LYONS,GA,30436,UNITED STATES OF AMERICA,N/A,912-386-2469,,DAVID HARRELL,DAVID HARRELL,AILEY,GA,VEGETABLE AND HAND HARVESTER WORKERS,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Vidalia Onions,,74,74,Y,Seasonal,40,07:00 AM,03:00 PM,$10.00,Hour,,,N,,None,,,N,,N,,,Y,2,REGISTER,GA,30452,N,H-2A Labor Contractor or Job Contractor,GEORGIA DEPARTMENT OF LABOR,GA8341441,2015-09-28,2015-11-28
H-300-15240-126762,2015-10-07,H-2A,2015-09-02,DETERMINATION ISSUED - CERTIFICATION,2015-11-01,2016-10-31,PRI,"Hotchkiss Ranches, Inc.","619 Shepherds Lane, Hotchkiss CO 81419 (Physical Address)","PO Box 479, Hotchkiss CO 81419 (Mailing Address)",Hotchkiss,CO,81419,UNITED STATES OF AMERICA,,970-234-4852,,Mountain Plains Ag Service,SANDRA STUNTEBECK,Casper,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,10,10,Y,Seasonal,60,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,6,Hotchkiss,CO,81419,Y,Association - Filing as Agent (H-2A Only),CO State Workforce,CO6264150,2015-08-24,2016-05-02
H-300-15240-635627,2015-10-09,H-2A,2015-08-28,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-09-01,2016-06-30,PRI,Roche Livestock,"23019 HWY 20-26, Parma ID 83660 (Physical Address)","21635 Ten Davis Rd, Parma ID 83660 (Mailing Address)",Parma,ID,83660,UNITED STATES OF AMERICA,,208-250-5575,,Mountain Plains Ag Service,SANDRA STUNTEBECK,Casper,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Open Range Livestock,,2,2,Y,Seasonal,60,12:00 AM,12:00 PM,$875.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,6,Parma,ID,83660,Y,Association - Filing as Agent (H-2A Only),ID State Workforce,537037,2015-08-28,2016-02-01
H-300-15240-913598,2016-06-07,H-2A,2016-04-05,DETERMINATION ISSUED - CERTIFICATION,2016-06-04,2016-12-15,PRI,E&A Farming,1899 Highway 135,,Santa Maria,CA,93455,UNITED STATES OF AMERICA,,805-720-5578,,Sethi Law Group,MIKE SETHI,ORANGE,CA,Temporary Agricultural Field Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Zucchini,,45,45,Y,Seasonal,40,06:30 AM,03:30 PM,$11.89,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Santa Maria,CA,93455,N,Individual Employer,"Employment Development Department, State of California",14817875,2016-04-27,2016-09-09
H-300-15243-264549,2015-10-09,H-2A,2015-08-31,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2015-09-15,2015-12-31,PRI,"Dave Prince Transport, Ltd",Box 858,,Deloraine,,R0M 0M0,CANADA,Manitoba,866-265-1482,,SOUTHERN IMPACT,LESLI DOWNS,TULSA,OK,Farmworkers,45-2091,Agricultural Equipment Operators,Soybeans,,5,5,Y,Seasonal,48,08:00 AM,05:00 PM,$13.59,Hour,,,N,,None,,,N,,N,,,Y,3,Westhope,ND,58793,N,H-2A Labor Contractor or Job Contractor,Job Service ND,243631,2015-09-28,2015-11-07
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,PRI,WESTERN RANGE ASSOCIATION,"1245 E. BRICKYARD ROAD, SUITE 190",,SALT LAKE CITY,UT,84106,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,97,97,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,Association - Joint Employer (H-2A Only),N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,PRESTON ARTHUR,1030 WEST 100 SOUTH,,PAUL,ID,83347,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,TWO BAR SHEEP COMPANY,46009 COLORADO HWY 318,,MAYBELL,CO,81640,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,FAULKNER LAND & LIVESTOCK COMPANY INC,1989 SOUTH 1875 EAST,,GOODING,ID,83330,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,CANYON CATTLE COMPANY,138 BRUST CREEK ROAD,,IDAHO COUNTY,ID,83544,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,ESTILL RANCHES LLC,123175 STAR ROUTE 447,,GERLACH,NV,89412,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,JOHN ESPIL SHEEP COMPANY,400 MEADOW ROAD,,LOVELOCK,NV,89419,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,3,3,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,PICKETT RANCH & SHEEP COMPANY INC,568 WEST 1650 SOUTH,,OAKLEY,ID,83346,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,MIKE & LISA KIMSEY,3890 LANE 50,,MANDERSON,WY,82432,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,3,3,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,JOHN PETERSON,6605 WEST BLACK CANYON HIGHWAY,,EMMETT,ID,83617,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,3,3,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,TRAVIS J NEWMAN,70 MUSSELSHELL RIVER ROAD,,MELSTONE,MT,59054,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,LADDER LIVESTOCK COMPANY LLC,489 CARBON COUNTY ROAD 710,,SAVERY,WY,82332,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,WILLIAM F. HOFMAN,WEST END OF COUNTY ROAD 33,,ARTOIS,CA,95913,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,3,3,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,NOTTINGHAM LAND & LIVESTOCK,1671 COUNTY ROAD 103,,CRAIG,CO,81625,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,4,4,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
H-300-15243-487642,2015-10-15,H-2A,2015-09-01,DETERMINATION ISSUED - CERTIFICATION,2015-11-10,2016-11-09,SUB,GUERRY INCORPORATED,3745 NORTH 600 EAST,,BUHL,ID,83316,UNITED STATES OF AMERICA,,801-486-2004,101,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,3,3,Y,Seasonal,40,12:00 AM,12:00 PM,$750.00,Month,,,N,,None,N/A,N/A,N,,N,,,Y,3,Wasco,CA,93280,Y,,N/A,N/A,,
